ID	location	group	Fst_group	plot_order
sp_ocwa_plate1_GCSP001	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP002	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP003	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP004	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP005	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP006	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP008	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP009	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP010	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP011	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP012	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP014	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP015	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP017	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP018	IO	GC	GCSP	1
sp_ocwa_plate1_GCSP019	IO	GC	GCSP	1
sp_ocwa_plate1_WCSP001	IO	PW	PSWS	3
sp_ocwa_plate1_WCSP003	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP004	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP005	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP006	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP007	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP008	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP009	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP010	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP012	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP013	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP014	IO	GW	GWCS	2
sp_ocwa_plate1_WCSP015	FN	GW	GWCS	2
sp_ocwa_plate1_WCSP016	FN	GW	GWCS	2
sp_ocwa_plate1_WCSP017	FN	GW	GWCS	2
sp_ocwa_plate1_WCSP018	FN	GW	GWCS	2
sp_ocwa_plate2_WCSP019	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP020	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP021	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP022	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP023	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP024	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP025	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP026	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP027	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP028	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP029	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP030	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP031	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP033	VC	PW	PSWS	3
sp_ocwa_plate2_WCSP034	VC	PW	PSWS	3
